código,nombre
5422F8,zte corporation
C8DDC9,Lenovo Mobile Communication Technology Ltd.
901D27,zte corporation
8CE081,zte corporation
48282F,zte corporation
5453ED,Sony Corporation
3CE624,LG Display 
F0BF97,Sony Corporation
68597F,Alcatel Lucent
002538,Samsung Electronics Co.
002437,Motorola - BSG
0022A6,Sony Computer Entertainment America
0022A1,Huawei Symantec Technologies Co.
00153F,Alcatel Alenia Space Italia
002032,ALCATEL TAISEL
1C08C1,LG Innotek
60D0A9,Samsung Electronics Co.
88CEFA,HUAWEI TECHNOLOGIES CO.
2C8A72,HTC Corporation
101B54,HUAWEI TECHNOLOGIES CO.
ECF342,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
30D386,zte corporation
70D923,vivo Mobile Communication Co.
28B448,HUAWEI TECHNOLOGIES CO.
503DA1,Samsung Electronics Co.
4C1A3D,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
F470AB,vivo Mobile Communication Co.
3C0518,Samsung Electronics Co.
900628,Samsung Electronics Co.
BC3F8F,HUAWEI TECHNOLOGIES CO.
143004,HUAWEI TECHNOLOGIES CO.
38AA3C,SAMSUNG ELECTRO MECHANICS CO.
5004B8,HUAWEI TECHNOLOGIES CO.
681AB2,zte corporation
64DB43,Motorola (Wuhan) Mobility Technologies Communication Co.
44C346,HUAWEI TECHNOLOGIES CO.
307496,HUAWEI TECHNOLOGIES CO.
708A09,HUAWEI TECHNOLOGIES CO.
F4F524,Motorola Mobility LLC
CC2D83,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
EC107B,Samsung Electronics Co.
1C232C,Samsung Electronics Co.
F02FA7,HUAWEI TECHNOLOGIES CO.
18DED7,HUAWEI TECHNOLOGIES CO.
0021D1,Samsung Electronics Co.
001FCC,Samsung Electronics Co.
EC8892,Motorola Mobility LLC
004A77,zte corporation
60A10A,Samsung Electronics Co.
8C71F8,Samsung Electronics Co.
CC051B,Samsung Electronics Co.
8C7712,Samsung Electronics Co.
9463D1,Samsung Electronics Co.
0021D2,Samsung Electronics Co.
5C497D,Samsung Electronics Co.
7825AD,Samsung Electronics Co.
ECE09B,Samsung Electronics Co.
